,cg18649438,cg12633154,cg01856645,cg10568066,cg13401893,cg04193820,cg09296957,cg19867917,cg26615126,cg06501366,cg06791446,cg24503407,cg16430428,cg26730543,cg11805311,cg09715672,cg14142171,cg23130075,cg14893161,cg00026375,cg10930308,cg27022933,cg09811317,cg01347228,cg10945539,cg15258416,cg27038439,cg19432362,cg17872886,cg07157834,cg16078649,cg18459618,cg24404630,cg06148175,cg13918754,cg24840099,cg22454011,cg17835678,cg23721712,cg26354017,cg01754756,cg20349812,cg15056105,cg26667946,cg02674384,cg24755996,cg11857033,cg15848031,cg26800803,cg18105675,cg14159672,cg15089314,cg09573585,cg10605681,cg25835179,cg25821304,cg21538208,cg15176413,cg20469139,cg07167872,cg05117982,cg14582057,cg07382347,cg12355172,cg03596034,cg00948524,cg07179033,cg08912051,cg25144207,cg12894325,cg26395382,cg12109566,cg08896939,cg00737978,cg02017534,cg00350199,cg11096993,cg04590184,cg01902605,cg14825976,cg25643819,cg25052156,cg10381888,cg16722947,cg02188185,cg26993102,cg08035082,cg09683562,cg14269973,cg04986336,cg25374649,cg03400060,cg12261786,cg09974661,cg01240599,cg08605991,cg00835279,cg17178900,cg04565008,cg11965913,cg25298725,cg09279736,cg14846965,cg14753599,cg18602114,cg25658983,cg24438909,cg08328513,cg12979844,cg08018585
GSM4299233,0.2216539,0.5972287,0.4924612,0.69462,0.6002505,0.4925885,0.4049807,0.5791012,0.717436,0.5914822,0.6973991,0.2190706,0.5683397,0.4348558,0.2940121,0.1888611,0.3144584,0.4973193,0.1323109,0.2075453,0.4651511,0.3689874,0.1544065,0.388606,0.6801712,0.12600766,0.7816279,0.6507891,0.6825805,0.5101587,0.5334451,0.2920714,0.231601,0.4705302,0.2967082,0.4079907,0.4036117,0.7049641,0.1445062,0.1878099,0.2547473,0.3824502,0.2695829,0.2566082,0.2542959,0.8553325,0.1526969,0.6585393,0.1793762,0.7723901,0.1610005,0.7291042,0.3208548,0.2618684,0.3861665,0.10785388,0.4300047,0.4448617,0.4707889,0.3106808,0.2841724,0.3040466,0.4310533,0.3921417,0.2904749,0.09144612,0.2946594,0.06578883,0.4540456,0.3396104,0.3643577,0.147818,0.4731227,0.3212543,0.2548818,0.3791426,0.5929852,0.1858547,0.7672253,0.3024239,0.2088364,0.8467186,0.8588115,0.7585527,0.3909516,0.753446,0.8300648,0.1808132,0.222849,0.4800096,0.3587718,0.4749858,0.6496097,0.5750448,0.4289012,0.7547849,0.3542535,0.4242268,0.4202681,0.1191022,0.11156074,0.4907844,0.3330732,0.45733,0.5062771,0.3225269,0.3621905,0.6549748,0.2687037,0.4311189
GSM4299240,0.2321343,0.5612847,0.5810448,0.628678,0.5783535,0.3930549,0.6689824,0.7293707,0.6352356,0.6531901,0.7542598,0.8893614,0.5512514,0.407374,0.3799345,0.2303833,0.3662041,0.7336978,0.8473958,0.1956319,0.4369252,0.5700093,0.127221,0.3778531,0.7808207,0.12125943,0.8308933,0.8059742,0.6931016,0.9070533,0.5588569,0.2606204,0.1595571,0.6661672,0.2592452,0.7166516,0.3167694,0.6636734,0.1486585,0.8935385,0.3353988,0.4375531,0.2234078,0.5122569,0.4188438,0.8698596,0.1744167,0.748244,0.1802899,0.7058265,0.912712,0.7373079,0.3102784,0.3190181,0.6856035,0.1381727,0.6451317,0.4961918,0.3622316,0.8433724,0.4465515,0.354964,0.379268,0.6500267,0.2893172,0.11991438,0.3138587,0.07679817,0.558374,0.524655,0.424758,0.2059983,0.412283,0.2064083,0.4866719,0.5470625,0.8077566,0.2040684,0.8580454,0.2534818,0.1786354,0.6559986,0.8437723,0.6816467,0.4731673,0.7441071,0.8165318,0.1695674,0.4687907,0.5844055,0.283935,0.5805631,0.737173,0.6926978,0.6144472,0.820728,0.5724849,0.8922982,0.5794756,0.8491493,0.28598405,0.4712107,0.3157069,0.4697751,0.4781476,0.5689167,0.3474783,0.7651471,0.5407934,0.4266764
GSM4299246,0.2689012,0.6925149,0.6361281,0.7556606,0.7015406,0.491387,0.5134997,0.637912,0.6672289,0.6874272,0.508891,0.6096462,0.4912588,0.4089734,0.3527455,0.2814696,0.3283103,0.5564524,0.4404755,0.1939774,0.5670148,0.3948657,0.10278388,0.4648778,0.7343828,0.11950726,0.6398589,0.7952783,0.6267487,0.7253431,0.5819077,0.3563918,0.1974586,0.4980055,0.338032,0.3527137,0.3869799,0.7521527,0.1608727,0.6795282,0.3046057,0.3667377,0.2646034,0.3104674,0.3551452,0.838923,0.2442939,0.6556921,0.148567,0.7044994,0.5266554,0.714213,0.334659,0.3184683,0.4984088,0.15059519,0.412431,0.3541745,0.5041157,0.5901174,0.2476846,0.4052299,0.4316564,0.4522725,0.3878762,0.20157425,0.3427839,0.09088222,0.4447032,0.3858797,0.4551009,0.1880815,0.5485756,0.2902385,0.3249936,0.4608211,0.584128,0.2440938,0.8679113,0.2983159,0.2845841,0.67925,0.853552,0.7854832,0.3888468,0.7225906,0.8103541,0.1960998,0.3277211,0.5018831,0.3724755,0.5479394,0.7378268,0.5636502,0.5047476,0.8300202,0.3042182,0.655676,0.4406945,0.5195647,0.32117155,0.5371683,0.3371131,0.4863231,0.5007487,0.4572651,0.4174869,0.759512,0.4320932,0.4048768
GSM4299248,0.1647849,0.4528305,0.6789921,0.3548414,0.2985619,0.4785467,0.5535067,0.5728719,0.7200026,0.6474518,0.6549948,0.2087176,0.5326254,0.3799193,0.3113323,0.1868241,0.4511452,0.6080867,0.1799473,0.1883992,0.3673485,0.4748672,0.14660787,0.4327217,0.6572056,0.12839922,0.7367011,0.8317286,0.5680837,0.4814085,0.543822,0.271211,0.2076694,0.5541228,0.2170741,0.2370844,0.4182339,0.6746307,0.156391,0.2405021,0.2873526,0.3129652,0.2446105,0.2805147,0.2337385,0.8961745,0.169298,0.5046625,0.1555407,0.6432367,0.1681016,0.7579815,0.3041918,0.3408838,0.5660771,0.16224319,0.4164236,0.311873,0.3817585,0.2797314,0.261501,0.3658132,0.1217617,0.5404549,0.2503281,0.12530312,0.2677404,0.048163,0.5428115,0.4677973,0.3969126,0.1769323,0.4447414,0.2793326,0.3142678,0.4776023,0.7117687,0.1720534,0.8584581,0.3124604,0.1841834,0.8725706,0.8407007,0.6816046,0.4202275,0.6804631,0.8006708,0.1550604,0.2076557,0.5164841,0.3448935,0.7312927,0.6198731,0.5628223,0.5651474,0.8262748,0.3173786,0.3506905,0.5113026,0.1287754,0.23395883,0.3907185,0.3724404,0.4387387,0.4433011,0.4100747,0.3706138,0.7495031,0.3620469,0.3111427
GSM4299249,0.2073107,0.44933,0.7122818,0.5216722,0.4399082,0.4219806,0.4909636,0.5674906,0.7301156,0.6655675,0.787973,0.5727415,0.5599371,0.3853725,0.2679827,0.1853943,0.2767018,0.5221739,0.4349081,0.2297492,0.3927235,0.4429996,0.11671974,0.3652829,0.6785297,0.1247172,0.6136844,0.848104,0.5557066,0.7415858,0.5455535,0.1791321,0.1971598,0.4978278,0.232228,0.2872477,0.4299067,0.566433,0.1247456,0.7008942,0.249009,0.5026007,0.2628749,0.3177851,0.3012436,0.8741739,0.1465087,0.5104853,0.1912005,0.6027347,0.56782,0.7644252,0.291968,0.314606,0.4770893,0.14107103,0.2303792,0.5151829,0.3614972,0.5456898,0.4565198,0.359351,0.3657713,0.4717965,0.1740649,0.11570214,0.2527071,0.0592728,0.3489328,0.4838078,0.3790605,0.2163039,0.422713,0.2906031,0.345676,0.4496628,0.6028704,0.160169,0.8534509,0.2944118,0.2187395,0.7112103,0.8061503,0.8406605,0.3356493,0.5879821,0.7987546,0.1182825,0.2690895,0.4879408,0.3627761,0.5101691,0.5848653,0.5598753,0.5136483,0.8549751,0.3553378,0.7070506,0.460863,0.5217387,0.33422229,0.451208,0.3645963,0.5080441,0.4740018,0.5250445,0.3462691,0.7133856,0.4495762,0.3287904
GSM4299340,0.265467,0.7780715,0.6464969,0.7773796,0.7314798,0.4279322,0.4784996,0.622499,0.7275344,0.6819986,0.4560606,0.8785614,0.5807793,0.5827531,0.2999181,0.2256794,0.3523186,0.5691232,0.8570361,0.169725,0.719423,0.4395679,0.11440031,0.3828845,0.743339,0.12117926,0.7978372,0.729296,0.6283317,0.8980484,0.6722663,0.2676454,0.2352253,0.528328,0.5505491,0.4968402,0.3296304,0.7869221,0.1503199,0.9147767,0.3086823,0.4785051,0.2380474,0.2801013,0.3323812,0.8571202,0.1749684,0.7232206,0.2260516,0.7522557,0.9243042,0.7333061,0.3264736,0.3524258,0.4827064,0.13544576,0.7245995,0.449368,0.3885403,0.7723847,0.337637,0.3578807,0.5411341,0.4531057,0.3365333,0.14097811,0.4362883,0.08137737,0.5423037,0.4376415,0.4072496,0.1827247,0.4247975,0.3114348,0.2831042,0.4196131,0.6739904,0.2051019,0.846012,0.3185938,0.2044104,0.6062494,0.8742253,0.7776517,0.5582667,0.7962665,0.8133234,0.1588977,0.2449753,0.518632,0.2730097,0.5934751,0.7305055,0.6000155,0.5128086,0.7839802,0.3643682,0.9170118,0.4621823,0.8421879,0.2454985,0.6068293,0.3574616,0.4690475,0.5055693,0.3670748,0.4374601,0.7520086,0.3212655,0.3484386
GSM4299343,0.2492052,0.6443875,0.716759,0.7072744,0.6452203,0.4561431,0.5399898,0.8271329,0.8049884,0.7502951,0.4430055,0.8649526,0.6748845,0.4874581,0.4006577,0.2725174,0.472424,0.6082361,0.8241636,0.1605968,0.5674989,0.4933733,0.11597042,0.3749205,0.8248238,0.1095155,0.7512284,0.7042448,0.8021187,0.8995081,0.5839891,0.2852871,0.1907381,0.5868756,0.3662136,0.4739597,0.3270952,0.7676132,0.1543691,0.8800704,0.3778778,0.3662316,0.2116749,0.2378126,0.2740281,0.8603401,0.1531854,0.6619201,0.2005511,0.8441409,0.8910407,0.7367886,0.3070439,0.3490564,0.547309,0.11956722,0.63897,0.385235,0.3863469,0.7707486,0.302274,0.3427339,0.4575638,0.5262514,0.2966513,0.10740924,0.3295469,0.0699607,0.4686244,0.4504882,0.4482571,0.1870489,0.4051971,0.2497707,0.2336888,0.5091488,0.6831859,0.1813874,0.8408809,0.2599283,0.2441043,0.6039456,0.8687775,0.766955,0.4514854,0.7753627,0.7755414,0.1273449,0.2369772,0.5092902,0.2723159,0.6508039,0.7440117,0.8058155,0.5445293,0.7591998,0.5406501,0.8790491,0.5177139,0.8148215,0.29147908,0.5266832,0.3210099,0.5064686,0.5376018,0.3372028,0.4341539,0.7839579,0.2971171,0.3007488
GSM4299344,0.2546229,0.5906249,0.6417704,0.6939438,0.5985538,0.4809541,0.5626272,0.5950213,0.7266968,0.7235589,0.7778691,0.1998562,0.5514988,0.4277501,0.4451373,0.3129748,0.3742917,0.6462226,0.1623934,0.223754,0.480714,0.4960454,0.12457757,0.4343196,0.7364215,0.11969194,0.7528432,0.7348927,0.6634283,0.4846293,0.5279523,0.3449159,0.208709,0.6197399,0.2492137,0.4221341,0.3468638,0.7338878,0.1702748,0.2600606,0.4037575,0.4922036,0.2374633,0.2288818,0.2962946,0.8263111,0.1870093,0.6034561,0.1945419,0.7483754,0.1828241,0.7234089,0.3718723,0.3406334,0.5873809,0.12069608,0.7005425,0.4863599,0.4498042,0.2516082,0.4328401,0.3866886,0.3848759,0.5509274,0.3074645,0.10819316,0.3298946,0.07487614,0.4806799,0.4936729,0.4713899,0.224767,0.5028059,0.3227109,0.2570156,0.5296047,0.6665468,0.2274932,0.7950428,0.3228095,0.2362991,0.8757123,0.8455879,0.7556777,0.3905667,0.736061,0.7947755,0.1953572,0.2101859,0.5413251,0.268061,0.5920926,0.727875,0.6815995,0.5668319,0.7828799,0.3537587,0.5371618,0.5524915,0.1359929,0.28508844,0.4565231,0.3767289,0.5253025,0.571892,0.3540099,0.369241,0.7941879,0.2813921,0.3581449
GSM4299353,0.2394499,0.7973081,0.6876461,0.8204565,0.7970576,0.29499,0.4567941,0.5253895,0.7021111,0.6911728,0.8124885,0.5809628,0.6065373,0.5255919,0.3150456,0.2452152,0.2730253,0.6085495,0.4906947,0.1744738,0.7530146,0.4316238,0.13614565,0.2498707,0.7467559,0.10535109,0.7086117,0.7122015,0.5848512,0.7456239,0.7553952,0.1695563,0.2412689,0.5411039,0.6668033,0.4281887,0.3804656,0.6725962,0.1642356,0.7200404,0.3370815,0.4086785,0.2426712,0.2437871,0.3458485,0.8667582,0.1412971,0.5960884,0.1848964,0.7245547,0.6374317,0.7438769,0.3687723,0.2120188,0.4682355,0.12144648,0.3593501,0.4289544,0.2958945,0.6529397,0.3493868,0.3284254,0.60605,0.443684,0.2103216,0.10991678,0.3919741,0.07814822,0.4025508,0.3995243,0.4404175,0.1839826,0.3240652,0.3097122,0.2520368,0.4301337,0.6846917,0.1328175,0.8475417,0.3254271,0.2386309,0.8769314,0.8404871,0.7924967,0.5374907,0.7010377,0.7895134,0.133388,0.2562739,0.5057395,0.3241647,0.5983529,0.6567804,0.5539265,0.5192421,0.779301,0.3181791,0.7726417,0.4864291,0.5378879,0.17823535,0.6480707,0.3467654,0.4677749,0.5183986,0.3273893,0.3604662,0.7627261,0.3441973,0.3957524
GSM4299355,0.2486377,0.6334566,0.6474818,0.6953817,0.6255825,0.3766188,0.3782639,0.5679364,0.6789944,0.6826055,0.6010957,0.6865807,0.5139485,0.4530325,0.3465955,0.1735805,0.4062292,0.4048541,0.565293,0.1747094,0.5204716,0.3211139,0.1163769,0.3755429,0.6836371,0.13561299,0.7623075,0.6352066,0.5905032,0.8171707,0.5255946,0.2702648,0.1869334,0.3924546,0.282845,0.3569662,0.3100111,0.696234,0.1422203,0.7842811,0.2868951,0.3652376,0.2220629,0.2616488,0.2941554,0.8077869,0.1589911,0.6685188,0.1858698,0.7153569,0.721291,0.7337024,0.2596513,0.3087824,0.3394439,0.14874592,0.6089697,0.4053895,0.3833307,0.7066427,0.2717938,0.3281842,0.3953642,0.3244626,0.2601663,0.11861986,0.288345,0.07443229,0.4362235,0.318241,0.3728422,0.1930448,0.4169308,0.2551966,0.2219885,0.3031307,0.484958,0.1545806,0.8394997,0.2738214,0.2673107,0.6020072,0.8483513,0.768542,0.424294,0.7243195,0.8183712,0.1600279,0.2089459,0.460993,0.2632436,0.5178592,0.6338715,0.6106127,0.3864362,0.7383002,0.3895057,0.8217559,0.3423147,0.5545925,0.3451826,0.4947433,0.3059844,0.4619095,0.4535828,0.3041217,0.3768269,0.7461264,0.2811084,0.3196706
GSM4299357,0.2519152,0.6321612,0.7586677,0.6987436,0.6422055,0.4318969,0.504516,0.6262322,0.7561274,0.7912144,0.4667024,0.31784,0.58015,0.480311,0.3916449,0.2584702,0.3541308,0.574889,0.2220892,0.1511356,0.6055659,0.4768339,0.12243605,0.3455104,0.7421543,0.1059366,0.7956666,0.8068487,0.6357836,0.6134305,0.5506702,0.2954388,0.2244329,0.5263232,0.3035387,0.3683991,0.450074,0.7100084,0.1678835,0.4978503,0.3777257,0.403405,0.319557,0.2026148,0.3061252,0.8762088,0.1662617,0.6432349,0.1981933,0.7351929,0.2869101,0.7626453,0.3886227,0.3539188,0.4988732,0.13571049,0.5581571,0.4063972,0.4078061,0.3532265,0.2938738,0.3851233,0.4150452,0.4847337,0.2409681,0.11621892,0.3181185,0.07465231,0.4305655,0.4558109,0.4565076,0.2190658,0.4413789,0.3377717,0.2875298,0.4485374,0.6437853,0.163281,0.8417524,0.4014052,0.2805435,0.5763636,0.8569936,0.7813431,0.4219816,0.7432776,0.7953876,0.1594195,0.221298,0.5143502,0.3686052,0.6954173,0.6883929,0.6255906,0.4723403,0.8301684,0.3481639,0.4797118,0.4783125,0.1946618,0.32392404,0.5100902,0.3818924,0.5295012,0.5629968,0.4120163,0.4327603,0.8096228,0.3391928,0.2888604
GSM4299367,0.2568759,0.6084045,0.490935,0.7124164,0.6063511,0.4700737,0.5983961,0.6346342,0.7267861,0.6121736,0.6304295,0.6870489,0.5731951,0.449622,0.4324474,0.253383,0.3237998,0.6257714,0.5022832,0.1729193,0.577345,0.4773721,0.14431622,0.4272458,0.7083241,0.13253526,0.7887639,0.7643778,0.7181993,0.7798201,0.5390609,0.320669,0.2379927,0.6086146,0.2718899,0.4943193,0.4566793,0.8043501,0.1343382,0.792069,0.3540287,0.4914276,0.3465355,0.2712017,0.3425947,0.7921375,0.1812806,0.6484248,0.2504502,0.7911145,0.6719035,0.7191402,0.3273131,0.2454355,0.5622127,0.12611655,0.4212529,0.561989,0.4414305,0.5831625,0.4173274,0.407073,0.4542524,0.5524862,0.3058182,0.13444633,0.3018503,0.06158979,0.4916343,0.4927846,0.4402572,0.160216,0.5293548,0.3279764,0.2636991,0.5085372,0.7625967,0.2197508,0.8032546,0.3918099,0.2006362,0.7590489,0.8860321,0.7300295,0.4378283,0.8107934,0.8568776,0.1739161,0.2971495,0.5164511,0.4412628,0.4622229,0.7313729,0.5838787,0.5682462,0.7929542,0.3436765,0.7561955,0.5533313,0.5664573,0.20397977,0.517131,0.408482,0.5039872,0.5182173,0.4269674,0.4084523,0.6584036,0.3665719,0.476952
GSM4299370,0.1926876,0.6844319,0.7077064,0.7104895,0.6543722,0.4376398,0.4859079,0.5868756,0.6877299,0.669379,0.7977287,0.373575,0.5475304,0.4826035,0.3104566,0.19444,0.4322873,0.5185602,0.2555623,0.2002159,0.5417375,0.414059,0.11835467,0.3574967,0.7200042,0.12918785,0.7525984,0.7036232,0.6701197,0.6181325,0.5923581,0.2634906,0.2174188,0.475671,0.500782,0.3544129,0.3776983,0.6386582,0.1615617,0.4358482,0.3117389,0.3878984,0.2606934,0.2850208,0.3163639,0.8119517,0.1530094,0.6898594,0.1906136,0.7091417,0.2479986,0.7335617,0.3158244,0.3361962,0.4501863,0.14659546,0.6315182,0.4395358,0.3816906,0.3353044,0.3060792,0.3736554,0.4216763,0.4410462,0.2574059,0.09510602,0.3595335,0.08251725,0.4786588,0.4397898,0.3521958,0.1877732,0.4570137,0.2849076,0.2866509,0.4269011,0.6252826,0.1876923,0.7959661,0.3369204,0.2405534,0.8602631,0.8319415,0.8275076,0.4947095,0.6478225,0.7743995,0.1647835,0.3126252,0.497725,0.3554733,0.5906718,0.6618432,0.5754008,0.4850551,0.7788662,0.3727914,0.6008011,0.461528,0.2039374,0.2951225,0.5546052,0.3534244,0.46021,0.4616725,0.3958388,0.3989541,0.7483774,0.3848426,0.3762152
GSM4299374,0.214715,0.5718128,0.6114865,0.6916808,0.6347921,0.4371684,0.4664432,0.6632812,0.6973948,0.6464355,0.5698823,0.2025734,0.6196835,0.4384167,0.3116911,0.2096863,0.4016048,0.5606284,0.1542253,0.1834637,0.5825127,0.4071079,0.14810877,0.4701369,0.7158215,0.1343661,0.742934,0.8058865,0.6704775,0.5577603,0.5245412,0.325201,0.2379687,0.5078448,0.33514,0.3834133,0.4404809,0.7298588,0.1541698,0.1865622,0.2952987,0.4317486,0.327817,0.2809161,0.3224192,0.8511598,0.1969865,0.6258543,0.2002184,0.7730015,0.1557082,0.7456162,0.3483235,0.3220659,0.473659,0.1429009,0.5270797,0.4766137,0.3945627,0.2700968,0.3663121,0.3936878,0.4237033,0.435475,0.2580657,0.10869223,0.3043745,0.06615731,0.5111663,0.427212,0.4023602,0.161379,0.4895502,0.322277,0.2735764,0.4450288,0.6782759,0.1802928,0.7867354,0.406986,0.218118,0.6454022,0.8573483,0.6785252,0.412605,0.7115961,0.7805775,0.1683318,0.3208672,0.4857204,0.366147,0.4744839,0.7032438,0.6200338,0.5201954,0.8380254,0.3544809,0.3713884,0.4657908,0.1264304,0.27606209,0.5115916,0.3648821,0.4821343,0.4787745,0.4541973,0.414613,0.7034859,0.4169486,0.3165747
GSM4299376,0.2465852,0.6666881,0.7127122,0.7227014,0.6514544,0.5327068,0.5950218,0.8226017,0.7734154,0.7579067,0.6652822,0.7182917,0.6932882,0.4563321,0.4564453,0.346691,0.3270255,0.6161522,0.5663197,0.1717516,0.5432099,0.5223952,0.10847512,0.4456065,0.787139,0.13064322,0.721405,0.8031949,0.7948717,0.8231508,0.6139442,0.3964062,0.2348766,0.5737968,0.3209045,0.3678074,0.3863981,0.7382466,0.1545185,0.7736365,0.4214601,0.5309496,0.3216598,0.4213242,0.3702766,0.845595,0.2197645,0.623243,0.2231956,0.823315,0.7076595,0.7009863,0.3757424,0.3183098,0.5796876,0.1548421,0.5502238,0.5441198,0.5077367,0.673489,0.4532404,0.4341247,0.4536349,0.5741484,0.4142582,0.14387826,0.3318772,0.04565435,0.4536808,0.5228095,0.4717506,0.1794196,0.5692875,0.3352772,0.3884779,0.4908691,0.7115394,0.25207,0.8580177,0.3578589,0.2100659,0.7726896,0.8559958,0.7942976,0.4072873,0.7380284,0.8090423,0.1881731,0.3677332,0.5251,0.3353721,0.6222176,0.7365928,0.768969,0.5411905,0.80478,0.5669212,0.7714646,0.5441771,0.614096,0.01820833,0.5338784,0.3679644,0.5300298,0.5517424,0.462745,0.4227888,0.793519,0.4694115,0.4417488
GSM4299377,0.209907,0.7072322,0.6301776,0.754332,0.720847,0.5281823,0.4348411,0.6264562,0.7160783,0.6491406,0.6284677,0.7024281,0.5990605,0.4642848,0.3808038,0.2764122,0.4179014,0.4586129,0.5295429,0.1931154,0.4832902,0.4151252,0.12224908,0.4171142,0.7194448,0.11940546,0.752716,0.7326522,0.6697812,0.7860156,0.5956926,0.3457497,0.2319448,0.4344091,0.3856953,0.511279,0.454635,0.7463689,0.1461561,0.7934907,0.3576728,0.3946384,0.3470021,0.3804948,0.3370189,0.7919061,0.2129513,0.6717119,0.1701187,0.6838195,0.7267567,0.6781149,0.3709679,0.2674425,0.4102645,0.14486511,0.4904889,0.44424,0.5181247,0.7108597,0.2770637,0.4349279,0.4525779,0.3719336,0.3693042,0.12360265,0.3888933,0.081486,0.4822226,0.4033049,0.4530717,0.2093124,0.5227238,0.3546382,0.30708,0.400146,0.5411849,0.2532581,0.8338868,0.3814135,0.1563944,0.6925521,0.8640313,0.7880436,0.508802,0.7618309,0.8232555,0.2198744,0.3386449,0.4751274,0.4072117,0.5427309,0.7213453,0.6206519,0.4222045,0.8089438,0.4291187,0.756198,0.4313901,0.5855444,0.32008577,0.5063164,0.3800288,0.5423915,0.5359442,0.445759,0.4078817,0.73149,0.3930973,0.4335023
GSM4299386,0.2451117,0.6909515,0.6079205,0.7559615,0.7082558,0.5591332,0.423863,0.7563238,0.7359994,0.5976802,0.6466294,0.5613348,0.6227882,0.5081827,0.4567235,0.3536655,0.335664,0.4586482,0.4376172,0.1943097,0.6511842,0.3735426,0.118468,0.5400257,0.7850603,0.1278456,0.7786144,0.542099,0.730065,0.7116018,0.6268138,0.34534,0.2101872,0.4091891,0.4368027,0.5147699,0.3346827,0.8004131,0.148306,0.7046031,0.4439594,0.4096462,0.2517996,0.263025,0.3000412,0.8836674,0.2119637,0.7652925,0.1899035,0.810489,0.5858041,0.695476,0.4242005,0.2944564,0.3825135,0.1348443,0.6659932,0.4361194,0.4817653,0.6369572,0.3200207,0.3604651,0.4750159,0.3971802,0.2927751,0.10736978,0.3792267,0.06741458,0.5491755,0.3450819,0.4760622,0.2140597,0.5908752,0.3022433,0.2117213,0.3493448,0.5585805,0.2012854,0.7583508,0.246417,0.2470271,0.7001416,0.8715634,0.7468869,0.4745806,0.790786,0.7457332,0.1840986,0.2517967,0.4753131,0.2943509,0.5172595,0.7062336,0.7263763,0.4079748,0.605326,0.4091134,0.781724,0.3878185,0.4499342,0.21033342,0.5243816,0.3183881,0.5796042,0.5878097,0.2984859,0.4075996,0.6808672,0.2771931,0.3003748
GSM4299389,0.1827496,0.5600963,0.6583077,0.565356,0.4979617,0.3965035,0.4259877,0.7712154,0.762096,0.6864615,0.6495,0.8831674,0.6013161,0.407102,0.3956557,0.2691667,0.294363,0.4164508,0.8961119,0.1891028,0.3502628,0.3560254,0.09733656,0.3701111,0.7393633,0.13627181,0.7719547,0.7983328,0.7286082,0.899199,0.4613551,0.2454601,0.2330973,0.3669025,0.234496,0.4978474,0.3789371,0.701241,0.168077,0.9371893,0.3489375,0.4707699,0.2169305,0.2473465,0.2974474,0.776534,0.1750844,0.6427902,0.2191232,0.8228088,0.908596,0.7835102,0.359044,0.3123787,0.3717033,0.12476509,0.727817,0.5098008,0.3300446,0.7482297,0.4274377,0.3912118,0.3418048,0.3193723,0.2071846,0.108329,0.3112652,0.06401835,0.4666166,0.3261921,0.46517,0.1563579,0.3904435,0.3290117,0.3720291,0.3110835,0.4970898,0.1564346,0.8343282,0.3001681,0.2916341,0.7230395,0.826045,0.679841,0.3560232,0.6676864,0.8499681,0.15445,0.2554564,0.438222,0.2939781,0.619146,0.7265384,0.7249572,0.3456626,0.8295806,0.5517794,0.8155084,0.3254005,0.8600169,0.3458935,0.4333981,0.3083581,0.4809608,0.5073688,0.4325695,0.4231409,0.7782506,0.3758361,0.3199721
GSM4299396,0.1974769,0.4646637,0.6081507,0.4986349,0.4925279,0.3624307,0.5190229,0.4935679,0.6434913,0.6230137,0.6870217,0.5595207,0.5125509,0.3617097,0.2771892,0.1719473,0.298424,0.5799183,0.4363518,0.2024846,0.4271378,0.4701304,0.11455956,0.2671939,0.7404306,0.12881602,0.7490523,0.6914879,0.679022,0.6911418,0.4983361,0.2548817,0.2194238,0.5366373,0.2035732,0.4689865,0.3545274,0.7249638,0.1606496,0.6379805,0.3148978,0.4273088,0.2524665,0.1877896,0.2708407,0.8798516,0.1671252,0.772332,0.1844514,0.6757368,0.5627247,0.631529,0.320493,0.2400509,0.5447515,0.13780459,0.5435323,0.4760537,0.3568408,0.5766818,0.3431593,0.382374,0.219616,0.4862543,0.2321828,0.12005937,0.2511967,0.07441047,0.4121774,0.4424541,0.3609764,0.2443453,0.3935944,0.274465,0.218572,0.4675263,0.6557732,0.1646284,0.8543968,0.3090826,0.2133484,0.8407435,0.8663098,0.6684063,0.3712009,0.7362732,0.8113044,0.1427743,0.1727353,0.5492911,0.2873803,0.4196099,0.5941709,0.5217291,0.5463572,0.8127043,0.3741373,0.7390889,0.5037743,0.4462814,0.20818358,0.4652848,0.353404,0.4259143,0.4113504,0.3690479,0.3453732,0.687403,0.3147763,0.2872317
GSM4299399,0.2646417,0.6635376,0.7453348,0.7324662,0.6499206,0.5129688,0.492207,0.7023299,0.712067,0.7583565,0.4904784,0.8902443,0.5882398,0.4492797,0.403323,0.2002674,0.3986636,0.5833989,0.8382499,0.1688685,0.5484411,0.437002,0.1346725,0.4795093,0.8017424,0.12475372,0.7145663,0.7966881,0.7012606,0.8993192,0.6094118,0.3853654,0.2235836,0.5279489,0.2919429,0.3289753,0.4433154,0.7231897,0.1973433,0.9142041,0.3517529,0.498284,0.3247366,0.4492732,0.4252627,0.8559103,0.1823805,0.5752505,0.2024406,0.7892444,0.9039727,0.7598715,0.3515869,0.3654298,0.4949727,0.13991494,0.435547,0.4844853,0.5261919,0.8020204,0.4148669,0.3935398,0.4309368,0.4353956,0.3041716,0.13413863,0.3308047,0.08266914,0.4109235,0.4397873,0.4410576,0.2485024,0.5172927,0.3077833,0.4345514,0.4752592,0.6357408,0.2475009,0.8539866,0.3896362,0.2460237,0.6595344,0.8554155,0.8085736,0.4627208,0.751288,0.8119533,0.1431932,0.400905,0.5313107,0.3604305,0.6467139,0.7389691,0.6502114,0.5312155,0.8386062,0.4122118,0.9092185,0.4974629,0.8632799,0.32692279,0.5488937,0.3959135,0.4882615,0.5231338,0.5844132,0.4103977,0.7874682,0.4924344,0.4467385
